Община,Населено място,Адрес,lat,lon
Турция,"Истанбул, Есенюрт","Истанбул, общ. Есенюрт 2 (Кърач)",41.0343177,28.6614809
Турция,"Истанбул, Есенюрт","Истанбул, общ. Есенюрт 3 (Йорнек)",41.0343177,28.6614809
Турция,"Истанбул, Есенюрт","Истанбул, общ. Есенюрт 4 (Йорнек)",41.0343177,28.6614809
Турция,"Истанбул, Еюпсултан","Истанбул, общ. Еюпсултан",41.1871598,28.8829816
Турция,"Истанбул, Зейтинбурну","Истанбул, общ. Зейтинбурну",40.990635,28.89614
Турция,"Истанбул, Кагътхане","Истанбул, общ. Кагътхане",41.0082376,28.9783589
Турция,"Истанбул, Кадъкьой","Истанбул, общ. Кадъкьой, кв. Сахрайиджедит",40.9818744,29.0576298
Турция,"Истанбул, Картал","Истанбул, общ. Картал 1",40.9062892,29.1972048
Турция,"Истанбул, Картал","Истанбул, общ. Картал 2",40.9062892,29.1972048
Турция,"Истанбул, Кючюкчекмедже","Истанбул, общ. Кючюкчекмедже 1",41.0212376,28.7780987
Турция,"Истанбул, Кючюкчекмедже","Истанбул, общ. Кючюкчекмедже 2",41.0212376,28.7780987
Турция,"Истанбул, Пендик","Истанбул, общ. Пендик, с. Курткой, кв. Йенишехир",40.879326,29.258135
Турция,"Истанбул, Силиври","Истанбул, общ. Силиври",41.073678,28.247868
Турция,"Истанбул, Силиври","Истанбул, общ. Силиври, кв. Алибей",41.073678,28.247868
Турция,"Истанбул, Султанбейли","Истанбул, общ. Султанбейли",40.9611123,29.2669438
Турция,"Истанбул, Султангази","Истанбул, общ. Султангази",41.1255794,28.8713314
Турция,"Истанбул, Султангази","Истанбул, общ. Султангази, кв. Угур Мумджу",41.1255794,28.8713314
Турция,"Истанбул, Чаталджа","Истанбул, общ. Чаталджа",41.142259,28.457469
Турция,Капаклъ,Капаклъ 1,38.963745,35.243322
Турция,Капаклъ,Капаклъ 2,38.963745,35.243322
Турция,Кешан,Кешан,40.8014295,26.5609857
Турция,Коня,Коня,37.8746429,32.4931554
Турция,Къркларели,Къркларели,41.735472,27.224369
Турция,Къркларели,"Къркларели, Ахметбей",41.440617,27.585771
Турция,Къркларели,"Къркларели, Бабаески",41.4313239,27.091798
Турция,Къркларели,"Къркларели, Визе",41.6692648,27.844502
Турция,Кютахия,Кютахия,39.4199547,29.985732
Турция,Люлебургаз,Люлебургаз 1,41.402742,27.365646
